
./vecadd_opt3 Number of trials=10,    avg=0.0231274, std dev=0.00390574
OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.0320711, std dev=0.000177408

OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.0184291, std dev=4.61854e-05

OMP_PROC_BIND=master OMP_PLACES=cores OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.270987, std dev=0.0139419

OMP_PROC_BIND=true OMP_PLACES=sockets OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.0231815, std dev=0.00241434

OMP_PROC_BIND=false OMP_PLACES=sockets OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.0192695, std dev=0.0006162

OMP_PROC_BIND=close OMP_PLACES=sockets OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.0237974, std dev=0.00184916

OMP_PROC_BIND=spread OMP_PLACES=sockets OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.0225427, std dev=0.00288265

OMP_PROC_BIND=master OMP_PLACES=sockets OMP_NUM_THREADS=22 ./vecadd_opt3 Number of trials=10,    avg=0.0323596, std dev=0.00019938

OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0230667, std dev=0.000220074

OMP_PROC_BIND=true OMP_PLACES=threads OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0373159, std dev=0.000141634

OMP_PROC_BIND=false OMP_PLACES=threads OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0229589, std dev=0.000115905

OMP_PROC_BIND=close OMP_PLACES=threads OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0372326, std dev=0.000148106

OMP_PROC_BIND=spread OMP_PLACES=threads OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0229174, std dev=3.28944e-05

OMP_PROC_BIND=master OMP_PLACES=threads OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.382691, std dev=0.00322618

OMP_PROC_BIND=true OMP_PLACES=cores OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0320285, std dev=0.000163608

OMP_PROC_BIND=false OMP_PLACES=cores OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0229211, std dev=7.85843e-05

OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0320854, std dev=0.000217341

OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0229955, std dev=2.86784e-05

OMP_PROC_BIND=master OMP_PLACES=cores OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.255988, std dev=1.41422e-06

OMP_PROC_BIND=true OMP_PLACES=sockets OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0292147, std dev=0.00360647

OMP_PROC_BIND=false OMP_PLACES=sockets OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0230076, std dev=0.000166844

OMP_PROC_BIND=close OMP_PLACES=sockets OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0284708, std dev=0.00454526

OMP_PROC_BIND=spread OMP_PLACES=sockets OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0282606, std dev=0.00407534

OMP_PROC_BIND=master OMP_PLACES=sockets OMP_NUM_THREADS=16 ./vecadd_opt3 Number of trials=10,    avg=0.0319715, std dev=0.000157799

OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0435213, std dev=8.05668e-05

OMP_PROC_BIND=true OMP_PLACES=threads OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0649044, std dev=0.000194311

OMP_PROC_BIND=false OMP_PLACES=threads OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0435464, std dev=0.000114896

OMP_PROC_BIND=close OMP_PLACES=threads OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0647825, std dev=0.000330192

OMP_PROC_BIND=spread OMP_PLACES=threads OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0435662, std dev=8.9269e-05

OMP_PROC_BIND=master OMP_PLACES=threads OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.355691, std dev=0.00949775

OMP_PROC_BIND=true OMP_PLACES=cores OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0451806, std dev=7.96984e-05

OMP_PROC_BIND=false OMP_PLACES=cores OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0435141, std dev=7.16679e-05

OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0452468, std dev=0.000125575

OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0436862, std dev=6.34079e-05

OMP_PROC_BIND=master OMP_PLACES=cores OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.247502, std dev=0.010785

OMP_PROC_BIND=true OMP_PLACES=sockets OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0521883, std dev=0.00887099

OMP_PROC_BIND=false OMP_PLACES=sockets OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0434662, std dev=6.49935e-05

OMP_PROC_BIND=close OMP_PLACES=sockets OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0519364, std dev=0.00873123

OMP_PROC_BIND=spread OMP_PLACES=sockets OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0510771, std dev=0.00813222

OMP_PROC_BIND=master OMP_PLACES=sockets OMP_NUM_THREADS=8 ./vecadd_opt3 Number of trials=10,    avg=0.0449674, std dev=0.000193065

OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0840466, std dev=0.000140958

OMP_PROC_BIND=true OMP_PLACES=threads OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.122759, std dev=0.000283076

OMP_PROC_BIND=false OMP_PLACES=threads OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0840265, std dev=8.42559e-05

OMP_PROC_BIND=close OMP_PLACES=threads OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.123023, std dev=0.0001705

OMP_PROC_BIND=spread OMP_PLACES=threads OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0848949, std dev=0.000287801

OMP_PROC_BIND=master OMP_PLACES=threads OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.35829, std dev=0.0114017

OMP_PROC_BIND=true OMP_PLACES=cores OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0871447, std dev=0.000217207

OMP_PROC_BIND=false OMP_PLACES=cores OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0839614, std dev=0.00018411

OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0869501, std dev=0.000123979

